,nombre_artista,bio,listeners,playcount,similar
1096,Split,"Multiple artists operate under the name Split, including a collaboration between German producers Wolfgang Voigt and Jürgen Paape, an alternative rock band from India, a groove metal band from Ukraine, and a band from Thailand.

1) Split was an Austrian band from Upper Austria.  They changed their style from Punk Rock / New Wave (1982/83) to Pop Rock / AOR / Hard Rock (1986/87), accompanied by lineup changes. <a href=""https://www.last.fm/music/Split"">Read more on Last.fm</a>",9088,81317,"['Aftertaste', 'Degeneration', 'seven degrees', 'Tripwire', 'Paralyzer']"
1097,Foxlane,"Foxlane is a band from Nijmegen, The Netherlands. The band comprises vocalist/rhythm guitarist Guus Timmermans, bassist Norman Samuels, drummer Joris van der Veeken and lead guitarist Christiaan Végh.

Bandcamp: https://foxlaneband.bandcamp.com/  || 
Facebook: https://www.facebook.com/Foxlaneband/ <a href=""https://www.last.fm/music/Foxlane"">Read more on Last.fm</a>",10522,44796,"['Big Mother Gig', 'EYES ON FILM', 'TAPE TOY', 'Canshaker Pi', 'Tessel']"
1098,The Beau Brummels,"The Beau Brummels was an American rock band, formed in San Francisco in 1964. The band's original lineup included Sal Valentino (lead vocals), Ron Elliott (lead guitar and main songwriter), Ron Meagher (bass guitar), Declan Mulligan (rhythm guitar, bass, harmonica), and John Petersen (drums). The Beau Brummels were discovered by  Autumn Records, where Sylvester Stewart—later known as Sly Stone—produced the group's early recording sessions. Initially <a href=""https://www.last.fm/music/The+Beau+Brummels"">Read more on Last.fm</a>",130132,896649,"['Harpers Bizarre', 'Buffalo Springfield', 'Paul Revere & The Raiders', 'The Byrds', 'The Monkees']"
1099,The Pretty Things,"The Pretty Things was an English rock band formed in September 1963 in Sidcup, Kent, with their name from Willie Dixon's 1955 song ""Pretty Thing"". They pioneered a raw approach to rhythm and blues (and later, psychedelia) that influenced a number of key bands of the 1960s British 'invasion', particularly The Rolling Stones, and David Bowie whose first hero was Phil May (born 1944; died 2020). The band did their final tour in 2018. 

The Pretty Things was preceded by Little Boy Blue and the Blue Boys which consisted of Dick Taylor <a href=""https://www.last.fm/music/The+Pretty+Things"">Read more on Last.fm</a>",383975,4205956,"['Kaleidoscope', 'The Litter', '13th Floor Elevators', 'Small Faces', 'The West Coast Pop Art Experimental Band']"
1100,Gravity,"There is more than one artist or band named Gravity:

1.  Gravity is a progressive rock/metal band based in Cleveland, Ohio. 
Official site: http://www.gravity33.com

2. Gravity is a rapper based out of New York.

3. Gravity is a Melodic Power Metal band from Izumi-ku, Japan with Neo-Classical Metal-elements. They formed 1996 and has released two full-length albums: ""Destiny's Calling"" in 2003 and ""Realized"" in 2006. And two Demos: ""Demo 2002"" in 2002 and ""Demo 2004"" in 2004. <a href=""https://www.last.fm/music/Gravity"">Read more on Last.fm</a>",34140,263985,"['Destiny', 'Neuron', 'Aleyum', 'Celo', 'Rezilient']"
1101,Kyros,"Not afraid to take songwriting and musical experimentation to a whole new level by pushing the boundaries. Creating fresh, new and exciting music with influences ranging from eighties pop e.g. Depeche Mode and Kate Bush through to modern post-
progressive and alternative rock music such as Muse and Porcupine Tree.

KYROS (known as Synaesthesia 2012-2015) formed in 2012 in London, England and consists of Shelby Warne on lead vocals and keyboards, Joey Frevola and Sam Higgins on guitar, Peter Episcopo on bass guitar and Robin Johnson on drums. <a href=""https://www.last.fm/music/Kyros"">Read more on Last.fm</a>",8292,193361,"['Meer', 'Frost*', 'Moon Safari', 'Advent Horizon', 'Big Big Train']"
1102,nørus,"Nørus, moniker from the producer and audio engineer Felipe Bortoloti, an upcoming name from Brazil's dusty-introspective house and techno scene, can be seen as a highlight on the main exquisite and lo-fi music channels around the globe this days, including EELF, Moskalus, Be-at.tv, Haus of Altr, Palmstructure and We lofi, to say some.

Collecting references from his transitory living on different cities of Brazil, his music travels from the boundaries of 4x4 music to stoned ethereal landscapes <a href=""https://www.last.fm/music/n%C3%B8rus"">Read more on Last.fm</a>",24415,206334,[]
1103,James Warren,"1)  Singer, Bassplayer & Songwriter (Korgis & Stackridge)
2) DJ and producer
3) Organist

1)  Singer, Bassplayer & Songwriter
James Warren was one of the principal songwriters in the quintessentially British rock band Stackridge. Hailing from Bristol, James played bass, guitar and fronted the band and cites  Lennon-McCartney, Paul Simon and The Beach Boys as early influences. He and songwriting partner Andy Davis developed the band's quirky, progressive repertoire and Stackridge played the very first Glastonbury Festival as the opening act. <a href=""https://www.last.fm/music/James+Warren"">Read more on Last.fm</a>",18350,96138,"['Michael Brun', 'Timo Maas', 'Puretone', 'Jaxomy', 'Oliver Koletzki & Fran']"
1104,V/A,"Various Artists <a href=""https://www.last.fm/music/+noredirect/V%2FA"">Read more on Last.fm</a>",0,0,[]
1105,Skoden," <a href=""https://www.last.fm/music/Skoden"">Read more on Last.fm</a>",1120,6084,"['TRIPTYKH', 'Caravel', '753', 'Køzløv', 'Cancel']"
1106,Cøunts," <a href=""https://www.last.fm/music/C%C3%B8unts"">Read more on Last.fm</a>",425,2185,"['Flucc', 'B Λ N D I', 'Plexøs', 'BSLS', 'Rzvx']"
1107,Kai van Dongen," <a href=""https://www.last.fm/music/Kai+van+Dongen"">Read more on Last.fm</a>",1441,5218,"['Rove Ranger', 'MARCAL', 'tred', 'CRAVO', 'Nicolas Vogler']"
1108,Slownoise," <a href=""https://www.last.fm/music/Slownoise"">Read more on Last.fm</a>",3571,24361,"['Ocralab', 'Optic_', 'Subforms', 'Slow Noise', 'Randoman']"
1109,Petit Astronaute," <a href=""https://www.last.fm/music/Petit+Astronaute"">Read more on Last.fm</a>",666,3345,"['The Alchemical Theory', 'Motionen', 'Foreign Material', 'Alexskyspirit', 'MTRL']"
1110,Developer,"There are three artists performing under the name Developer. 

(1) Developer is one of a few active DJ/Producers that emerged from the Los Angeles techno scene in the early 1990's. After ending his residency as a DJ on radio station 88.7FM kspc in 1995, Developer ""Adrian Sandoval"" Became the Import & Export Manager of the first dedicated techno distribution company on the west coast "" Entity Music Distribution "" which distributed top labels such as Axis Records <a href=""https://www.last.fm/music/Developer"">Read more on Last.fm</a>",16243,163295,"['Jonas Kopp', 'DVS1', 'Oscar Mulero', 'Truncate', 'James Ruskin']"
1111,Mark Knight,"Not to be confused with, the similarly named, video games and Chiptune composer - Mark 'TDK' Knight.

1) Mark Knight is head of Toolroom Records & a UK DJ / producer. He has stamped his impression on the scene of electronic dance music - through a string of releases & parties - highlighting his label. Often collaborating with fellow British DJ Funkagenda, Mark has been at the forefront of commercial house, techno & tech house. Some of his most successful releases are Man With The Red Face (with Funkagenda), Downpipe (with Underworld & D. <a href=""https://www.last.fm/music/Mark+Knight"">Read more on Last.fm</a>",270972,1904934,"['Block & Crown', 'Hot Since 82', 'David Penn', 'Weiss (UK)', 'Eelke Kleijn']"
1112,Kadric," <a href=""https://www.last.fm/music/Kadric"">Read more on Last.fm</a>",215,631,"['MARCAL', 'STØTS', 'Tim Tama', 'SHDW & Obscure Shape', 'Andrea Signore']"
1113,ALEX DOLBY,"Alex Dolby was born in the rich land of Ciociaria some years ago He got involved in music production after having attended several clubs nights around Italy. His influences have to be searched in djs as Lory-D, Speedy-j and Leo Anibaldi but also in the italian house protagonists as Ralf, Flavio Vecchi and Ricky Montanari. As soon as he got his own studio he started producing tracks which were the fusion of electronic and house music. He worked hard and he reached his own style <a href=""https://www.last.fm/music/Alex+Dolby"">Read more on Last.fm</a>",15404,65620,"['Nick Muir', 'Jim Rivers', 'Derek Howell', 'Rowdent', 'Mutant Clan']"
1114,Vesa-Matti," <a href=""https://www.last.fm/music/Vesa-Matti"">Read more on Last.fm</a>",548,1394,"['Dream', 'Lakko', 'Shrty', 'Spekti', 'Makaroni_muhennos']"
1115,Raroh," <a href=""https://www.last.fm/music/Raroh"">Read more on Last.fm</a>",190,1646,"['jamida', 'Forest On Stasys', 'Save Your Atoll', 'Blazej Malinowski', 'Martyn Päsch']"
1116,Markantonio,"A long-time staple of Neapolitan techno and the European dance scene in general, Markantonio has excelled as a first class DJ, producer and record label owner through his own work and that of labels Analytic Trail and MKT.

First getting behind the decks at just fifteen years old, a passion for both the technical side of DJing and for finding the freshest records around made it clear that music would be the career for young Markantonio. Within four years <a href=""https://www.last.fm/music/Markantonio"">Read more on Last.fm</a>",8644,28023,"['F-Rontal', ""Antonio D'Africa"", 'Audiomatiques', 'NANCY Live', 'Dok & Martin']"
1117,Leo Portela,"Leo Portela (aka Index, Cutlab, Liongold, Dubrider, Wax Hero) Started his career as a House, Downtempo and Drum & Bass live performer, dj and producer in 1997. His first break came when he joined Argentine electronic music label URL Records in 1999. Over the last decade, Leo Portela has edited and produced more than 60 compositions on vinyl, cd and multimedia. He produced for well known record labels in the dance industry in cities such as Buenos Aires, London, Detroit, San Francisco, New York, Miami, Rome, Milan, Bremen and Munich. <a href=""https://www.last.fm/music/Leo+Portela"">Read more on Last.fm</a>",8363,27707,"['Overdub Sessions', 'Tangongo', 'Two To Stay', 'Supertangox', 'MondoTango']"
1118,Into The Ether,"Into the Ether is a brand new musical project by English DJ and producer Jordan Clayton. Having enjoyed a successful spell producing under his own name, Clayton decided that 2018 was the perfect year to reinvent himself and take his music in a new direction. With a focus on raw emotion, Into the Ether will see Clayton’s productions move from his traditional big room sound to a more atmospheric, melodic and emotive vibe.

Having reinvigorated his passion for production <a href=""https://www.last.fm/music/Into+the+Ether"">Read more on Last.fm</a>",20197,84295,"['Sebastian Sellares', 'Solanca', 'Parallel Voices', 'maty owl', 'Braxton']"
1119,Johnny M,"As a child drilled in classical piano, performing and writing music came as naturally as breathing for Johnny M. It was apparent early on that this skilled musician was not headed for the orchestra pit, though. Every time he got asked to play for a church service, he whipped out his Enya and Enigma songbooks.
Johnny M's passion for dance/pop music led him to write his first song, 'Mystery', at the age of 16. ""I don't remember much of it right now <a href=""https://www.last.fm/music/Johnny+M"">Read more on Last.fm</a>",507,4723,"['Rolhay', 'Mayro', 'Ismail Kizil', 'Rivo e Armin van Buuren', 'Pad One']"
1120,MATE 0000," <a href=""https://www.last.fm/music/MATE+0000"">Read more on Last.fm</a>",188,407,"['Amonita', 'D-Nox', 'Kasper Koman', 'Gab Rhome', 'david hohme']"
1121,Paul van Dyk’s VONYC Sessions," <a href=""https://www.last.fm/music/Paul+van+Dyk%E2%80%99s+VONYC+Sessions"">Read more on Last.fm</a>",12,18,[]
1122,Isoprospect," <a href=""https://www.last.fm/music/Isoprospect"">Read more on Last.fm</a>",770,2239,"['Quizzow', 'Adrian Alexander', 'Nikhil Prakash', 'AAMOS', 'Leo Lauretti']"
1123,NG Rezonance," <a href=""https://www.last.fm/music/NG+Rezonance"">Read more on Last.fm</a>",5953,36727,"['Criostasis', 'Lee Walls', 'Costa Pantazis', 'Bryn Whiting', 'Renegade System']"
1124,Proton Radio,"Proton Radio is internet broadcasting's gold standard for underground dance music. With a steadfast dedication to provide listeners with the absolute highest quality programming and an emphasis on introducing lesser-known talents, Proton has cultivated an audience of thousands of daily listeners from locations around the globe since 2001. Tune in. Sit back. And enjoy our 100+ original shows, broadcasting 24 hours a day, 7 days a week! <a href=""https://www.last.fm/music/Proton+Radio"">Read more on Last.fm</a>",818,4391,"['m t h . H o u s e', 'Cassino & Laben', 'Apologist', 'm t h . E l e c t r o', 'Max Demand']"
1125,Йорданка Христова,"профили profiles 
Йорданка Христова Yordanka Hristova 
Рождена дата: 10.09.1943 Birthday: 10/09/1943 
Пол: Жена Gender: Female 


Неостаряващата звезда на българската попмузика Йорданка Христова е родена на 10 септември 1943 г. в София. Ageless pop star of Bulgarian Yordanka Hristova was born on September 10, 1943 in Sofia. Любопитен факт около нейната фамилия е <a href=""https://www.last.fm/music/+noredirect/%D0%99%D0%BE%D1%80%D0%B4%D0%B0%D0%BD%D0%BA%D0%B0+%D0%A5%D1%80%D0%B8%D1%81%D1%82%D0%BE%D0%B2%D0%B0"">Read more on Last.fm</a>",1467,11049,"['Маргарита Хранова', 'Мими Иванова', 'Лили Иванова', 'Паша Христова', 'Емил Димитров']"
